"catmat","item_tratado","outcome","doador_catmat","descricao_doador","omega"
463990,"Açúcar cristal orgânico","n_combinacoes_unidade","447877","FRIOS, VARIEDADE: SALAME , TIPO: ITALIANO , APRESENTAÇÃO: PEÇA INTEIRA , ESTADO DE CONSERVAÇÃO: RESFRIADO(A) ",0.00855341164725948
463990,"Açúcar cristal orgânico","median_preco","464406","FRUTA, TIPO: MANGA TOMMY , APRESENTAÇÃO: NATURAL ",0.490562890053896
463990,"Açúcar cristal orgânico","median_preco","463768","LEGUME IN NATURA, TIPO: BETERRABA , APRESENTAÇÃO: ORGÂNICO ",0.220756884814635
463990,"Açúcar cristal orgânico","median_preco","217096","VINAGRE, MATÉRIA-PRIMA: ÁLCOOL CANA DE AÇÚCAR , TIPO: NEUTRO , ACIDEZ: 4,20 PER, ASPECTO FÍSICO: LÍQUIDO , ASPECTO VISUAL: LÍMPIDO E SEM DEPÓSITOS ",0.20819879882807
463990,"Açúcar cristal orgânico","median_preco","464395","FRUTA, TIPO: LARANJA BAHIA / LARANJA UMBIGO , APRESENTAÇÃO: NATURAL ",0.0436729810229082
463990,"Açúcar cristal orgânico","median_preco","467418","FRUTA, TIPO: MAMÃO FORMOSA , APRESENTAÇÃO: NATURAL , ADICIONAL: ORGÂNICA ",0.0257387713133773
463990,"Açúcar cristal orgânico","median_preco","464405","FRUTA, TIPO: MAMÃO FORMOSA , APRESENTAÇÃO: NATURAL ",0.00603449248841116
463990,"Açúcar cristal orgânico","median_preco","459017","FARINHA DE MILHO, GRÃO: AMARELO , TIPO: FLOCADA , APRESENTAÇÃO: PRÉ-COZIDA , CARACTERÍSTICA ADICIONAL: TRANSGÊNICO , INGREDIENTE ADICIONAL: FORTIFICADA COM FERRO E ÁCIDO FÓLICO ",0.0050351814787021
603269,"Açúcar cristal comum","n_fornecedores","464381","FRUTA, TIPO: BANANA PRATA / BANANA BRANCA , APRESENTAÇÃO: NATURAL ",0.384751857638849
603269,"Açúcar cristal comum","n_fornecedores","446019","LEITE EM PÓ, ORIGEM: DE VACA , TEOR GORDURA: INTEGRAL , SOLUBILIDADE: INSTANTÂNEO ",0.261294950830859
603269,"Açúcar cristal comum","n_fornecedores","463753","LEGUME IN NATURA, TIPO: BATATA DOCE ",0.178625922804578
603269,"Açúcar cristal comum","n_fornecedores","463781","LEGUME IN NATURA, TIPO: CEBOLA BRANCA ",0.0951799971127291
603269,"Açúcar cristal comum","n_fornecedores","463692","ÓLEO VEGETAL COMESTÍVEL, TIPO: PURO , ESPÉCIE VEGETAL: SOJA , TIPO QUALIDADE: TIPO 1 ",0.0801472716129859
